episode,step,action_node,action_bw,completion_time_ms,sla_violated,reward,volatility,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,s_49,s_50,s_51,ns_0,ns_1,ns_2,ns_3,ns_4,ns_5,ns_6,ns_7,ns_8,ns_9,ns_10,ns_11,ns_12,ns_13,ns_14,ns_15,ns_16,ns_17,ns_18,ns_19,ns_20,ns_21,ns_22,ns_23,ns_24,ns_25,ns_26,ns_27,ns_28,ns_29,ns_30,ns_31,ns_32,ns_33,ns_34,ns_35,ns_36,ns_37,ns_38,ns_39,ns_40,ns_41,ns_42,ns_43,ns_44,ns_45,ns_46,ns_47,ns_48,ns_49,ns_50,ns_51
0,3,3,0.7321,359972.93,1,-3.902,low_bandwidth,0.0,0.0,0.0,0.0207,0.2573,0.0,0.0,0.0,0.2,0.06,0.08,0.0,0.0,0.0,0.32,0.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2132,0.0182,0.0525,0.0798,0.2232,0.1939,0.1597,0.2472,0.2641,0.1767,0.3743,0.4483,0.2143,0.1744,0.1494,0.2223,0.26,0.1554,0.2995,0.2984,0.1347,0.1597,0.2221,0.0081,0.1992,0.005,0.1384,0.0118,0.1734,0.0672,0.0,0.0,0.0,0.0,0.0475,0.1319,0.16,0.02,0.04,0.12,0.0,0.0,0.28,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1385,0.0542,0.1134,0.0738,0.2345,0.1892,0.1536,0.3904,0.1222,0.168,0.3529,0.3928,0.2019,0.2233,0.1605,0.2019,0.3774,0.0657,0.2679,0.3496,0.0479,0.1459,0.1342,0.005,0.2246,0.0068,0.141,0.005
0,3,0,0.1292,8561234.06,1,-5.3263,low_bandwidth,0.0,0.0,0.0,0.0207,0.2573,0.0,0.0,0.0,0.2,0.06,0.08,0.0,0.0,0.0,0.32,0.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2132,0.0182,0.0525,0.0798,0.2232,0.1939,0.1597,0.2472,0.2641,0.1767,0.3743,0.4483,0.2143,0.1744,0.1494,0.2223,0.26,0.1554,0.2995,0.2984,0.1347,0.1597,0.2221,0.0081,0.1992,0.005,0.1384,0.0118,0.0948,0.0106,0.1246,0.0,0.0,0.0,0.0936,0.1868,0.3,0.0,0.02,0.1,0.0,0.0,0.26,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.1455,0.0419,0.1042,0.0511,0.242,0.172,0.203,0.2562,0.2039,0.1669,0.672,0.2155,0.203,0.1998,0.0707,0.3074,0.1407,0.0971,0.3617,0.1238,0.1456,0.1156,0.2496,0.005,0.0758,0.0063,0.2104,0.0074
0,4,3,0.6752,253941.16,1,-2.8402,low_bandwidth,0.0948,0.0106,0.1246,0.0,0.0,0.0,0.0936,0.1868,0.3,0.0,0.02,0.1,0.0,0.0,0.26,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.1271,0.0613,0.1492,0.0898,0.2199,0.1615,0.1001,0.3676,0.0974,0.1808,0.7205,0.3753,0.2173,0.3219,0.2104,0.2957,0.1567,0.1482,0.2471,0.3243,0.1274,0.058,0.1627,0.0079,0.0911,0.0088,0.0884,0.0057,0.0,0.2632,0.0,0.0122,0.0,0.2457,0.0,0.1937,0.28,0.0,0.0,0.09,0.0,0.0,0.24,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.1381,0.0518,0.0954,0.0448,0.3013,0.2185,0.1906,0.4726,0.2382,0.1765,0.4404,0.155,0.2855,0.2953,0.1531,0.124,0.1515,0.1692,0.133,0.3145,0.1426,0.2025,0.2328,0.0063,0.1645,0.0065,0.1417,0.0068
0,4,1,0.808,78989.08,1,-1.1271,low_bandwidth,0.0948,0.0106,0.1246,0.0,0.0,0.0,0.0936,0.1868,0.3,0.0,0.02,0.1,0.0,0.0,0.26,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.1271,0.0613,0.1492,0.0898,0.2199,0.1615,0.1001,0.3676,0.0974,0.1808,0.7205,0.3753,0.2173,0.3219,0.2104,0.2957,0.1567,0.1482,0.2471,0.3243,0.1274,0.058,0.1627,0.0079,0.0911,0.0088,0.0884,0.0057,0.0,0.1135,0.0145,0.1714,0.0,0.0701,0.1195,0.0695,0.26,0.14,0.0,0.07,0.0,0.0,0.22,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.215,0.0459,0.0904,0.0717,0.3342,0.1596,0.1959,0.3127,0.2168,0.1435,0.3212,0.2834,0.2956,0.1502,0.1769,0.2135,0.2142,0.1031,0.1509,0.3079,0.1565,0.1705,0.2072,0.0086,0.1,0.0088,0.2852,0.0086
0,4,0,0.2391,466408.71,1,-4.981,low_bandwidth,0.0948,0.0106,0.1246,0.0,0.0,0.0,0.0936,0.1868,0.3,0.0,0.02,0.1,0.0,0.0,0.26,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.1271,0.0613,0.1492,0.0898,0.2199,0.1615,0.1001,0.3676,0.0974,0.1808,0.7205,0.3753,0.2173,0.3219,0.2104,0.2957,0.1567,0.1482,0.2471,0.3243,0.1274,0.058,0.1627,0.0079,0.0911,0.0088,0.0884,0.0057,0.1595,0.1049,0.2357,0.206,0.0543,0.1198,0.1206,0.0,0.38,0.12,0.0,0.05,0.0,0.0,0.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.1194,0.0466,0.0902,0.1013,0.4649,0.1552,0.1392,0.323,0.2295,0.241,0.5287,0.2756,0.2977,0.3704,0.1765,0.2316,0.296,0.1736,0.3474,0.312,0.1546,0.2095,0.2474,0.0057,0.1776,0.0066,0.1643,0.0104
0,5,6,0.4748,2973513.91,1,-5.3126,low_bandwidth,0.1595,0.1049,0.2357,0.206,0.0543,0.1198,0.1206,0.0,0.38,0.12,0.0,0.05,0.0,0.0,0.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.1494,0.0443,0.0536,0.0914,0.3122,0.3045,0.1481,0.2347,0.2048,0.2285,0.437,0.3347,0.299,0.2935,0.1226,0.2127,0.2965,0.089,0.2502,0.2063,0.2211,0.109,0.1512,0.0083,0.235,0.0074,0.1358,0.0117,0.1449,0.0108,0.2058,0.0839,0.0,0.2604,0.0,0.2564,0.36,0.1,0.0,0.03,0.0,0.0,0.3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2103,0.0112,0.1046,0.0689,0.4034,0.2678,0.1811,0.1135,0.1577,0.1335,0.2708,0.4158,0.1426,0.4418,0.225,0.1778,0.2464,0.1258,0.3295,0.361,0.1753,0.2289,0.1478,0.0085,0.1677,0.0055,0.1622,0.005
0,5,3,0.662,143495.29,1,-1.7449,low_bandwidth,0.1595,0.1049,0.2357,0.206,0.0543,0.1198,0.1206,0.0,0.38,0.12,0.0,0.05,0.0,0.0,0.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.1494,0.0443,0.0536,0.0914,0.3122,0.3045,0.1481,0.2347,0.2048,0.2285,0.437,0.3347,0.299,0.2935,0.1226,0.2127,0.2965,0.089,0.2502,0.2063,0.2211,0.109,0.1512,0.0083,0.235,0.0074,0.1358,0.0117,0.0,0.0038,0.1357,0.0,0.0276,0.1274,0.1812,0.1708,0.34,0.08,0.0,0.03,0.0,0.0,0.28,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1858,0.0366,0.1264,0.0791,0.4388,0.1465,0.2482,0.3752,0.1533,0.1326,0.4066,0.3482,0.2926,0.2301,0.1406,0.3302,0.3405,0.1454,0.1425,0.2706,0.1927,0.1391,0.1676,0.005,0.179,0.009,0.1393,0.009
0,5,3,0.6883,3850.87,1,-0.34,low_bandwidth,0.1595,0.1049,0.2357,0.206,0.0543,0.1198,0.1206,0.0,0.38,0.12,0.0,0.05,0.0,0.0,0.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.1494,0.0443,0.0536,0.0914,0.3122,0.3045,0.1481,0.2347,0.2048,0.2285,0.437,0.3347,0.299,0.2935,0.1226,0.2127,0.2965,0.089,0.2502,0.2063,0.2211,0.109,0.1512,0.0083,0.235,0.0074,0.1358,0.0117,0.3105,0.0347,0.1971,0.1641,0.0,0.0,0.2193,0.0,0.32,0.06,0.0,0.02,0.0,0.0,0.26,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1115,0.0418,0.0663,0.0716,0.4011,0.0935,0.2519,0.4516,0.1128,0.1219,0.3319,0.1582,0.3832,0.4062,0.0819,0.1677,0.2534,0.117,0.0421,0.2096,0.258,0.1652,0.1727,0.005,0.1881,0.0078,0.1266,0.005
0,6,2,0.2507,161106.82,1,-1.9357,low_bandwidth,0.3105,0.0347,0.1971,0.1641,0.0,0.0,0.2193,0.0,0.32,0.06,0.0,0.02,0.0,0.0,0.26,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2008,0.0226,0.1043,0.0264,0.3278,0.2384,0.2168,0.3396,0.188,0.2625,0.4064,0.2671,0.2642,0.2381,0.1151,0.1686,0.3397,0.1583,0.154,0.0688,0.0873,0.231,0.066,0.0082,0.1088,0.0077,0.166,0.0073,0.1416,0.0,0.0881,0.0283,0.0198,0.0,0.1705,0.1815,0.3,0.04,0.12,0.0,0.0,0.0,0.24,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1753,0.0384,0.0835,0.0633,0.295,0.1411,0.2073,0.342,0.1148,0.1901,0.4067,0.3967,0.3272,0.1666,0.1887,0.1128,0.3031,0.2003,0.3113,0.0922,0.2147,0.3359,0.1651,0.0074,0.1029,0.0082,0.2249,0.0091
0,6,0,0.4038,316.41,1,-0.3299,low_bandwidth,0.3105,0.0347,0.1971,0.1641,0.0,0.0,0.2193,0.0,0.32,0.06,0.0,0.02,0.0,0.0,0.26,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2008,0.0226,0.1043,0.0264,0.3278,0.2384,0.2168,0.3396,0.188,0.2625,0.4064,0.2671,0.2642,0.2381,0.1151,0.1686,0.3397,0.1583,0.154,0.0688,0.0873,0.231,0.066,0.0082,0.1088,0.0077,0.166,0.0073,0.0,0.2291,0.1023,0.244,0.0759,0.0281,0.0,0.0778,0.33,0.02,0.1,0.0,0.0,0.0,0.22,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1825,0.0356,0.0386,0.0836,0.3933,0.2275,0.1337,0.187,0.166,0.1477,0.3191,0.3599,0.393,0.2965,0.1484,0.1445,0.3183,0.1257,0.2143,0.2661,0.1858,0.2091,0.2474,0.0084,0.1463,0.0084,0.1873,0.005
0,6,3,0.3886,368067.04,1,-4.0055,low_bandwidth,0.3105,0.0347,0.1971,0.1641,0.0,0.0,0.2193,0.0,0.32,0.06,0.0,0.02,0.0,0.0,0.26,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2008,0.0226,0.1043,0.0264,0.3278,0.2384,0.2168,0.3396,0.188,0.2625,0.4064,0.2671,0.2642,0.2381,0.1151,0.1686,0.3397,0.1583,0.154,0.0688,0.0873,0.231,0.066,0.0082,0.1088,0.0077,0.166,0.0073,0.0906,0.2569,0.0587,0.2237,0.0,0.1093,0.0559,0.0,0.31,0.0,0.08,0.18,0.0,0.0,0.2,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1229,0.0346,0.1361,0.0954,0.1189,0.0753,0.2142,0.3012,0.0963,0.2038,0.4727,0.3322,0.3143,0.1687,0.0723,0.2963,0.1276,0.0814,0.1798,0.3748,0.1868,0.2588,0.1923,0.0061,0.1902,0.005,0.1094,0.0092
0,7,0,0.1701,1321244.42,1,-5.3242,low_bandwidth,0.0906,0.2569,0.0587,0.2237,0.0,0.1093,0.0559,0.0,0.31,0.0,0.08,0.18,0.0,0.0,0.2,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0838,0.0412,0.0867,0.0629,0.1121,0.1498,0.1228,0.3741,0.1968,0.1727,0.3586,0.3573,0.1348,0.126,0.0424,0.1709,0.1736,0.159,0.2089,0.2333,0.2025,0.1594,0.1979,0.0098,0.1005,0.0076,0.1296,0.005,0.0,0.2129,0.0,0.1724,0.0082,0.0,0.0,0.0992,0.48,0.0,0.06,0.16,0.0,0.0,0.18,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0974,0.0608,0.092,0.0785,0.2522,0.1956,0.2839,0.3247,0.1533,0.1797,0.109,0.3148,0.2247,0.1952,0.1632,0.2043,0.103,0.1036,0.0346,0.2841,0.1766,0.1529,0.2111,0.005,0.1135,0.0084,0.1292,0.0074
0,7,3,0.7034,6535.18,1,-0.3837,low_bandwidth,0.0906,0.2569,0.0587,0.2237,0.0,0.1093,0.0559,0.0,0.31,0.0,0.08,0.18,0.0,0.0,0.2,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0838,0.0412,0.0867,0.0629,0.1121,0.1498,0.1228,0.3741,0.1968,0.1727,0.3586,0.3573,0.1348,0.126,0.0424,0.1709,0.1736,0.159,0.2089,0.2333,0.2025,0.1594,0.1979,0.0098,0.1005,0.0076,0.1296,0.005,0.0,0.0,0.0549,0.0,0.0,0.0,0.1715,0.0,0.46,0.0,0.04,0.38,0.0,0.0,0.16,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1241,0.0284,0.0843,0.0512,0.3018,0.2604,0.1146,0.4189,0.1029,0.2032,0.506,0.4086,0.2436,0.2417,0.1763,0.1221,0.107,0.1284,0.0985,0.3045,0.216,0.2328,0.2368,0.0082,0.1836,0.0072,0.1856,0.0079
0,7,2,0.4501,47571.43,1,-0.7827,low_bandwidth,0.0906,0.2569,0.0587,0.2237,0.0,0.1093,0.0559,0.0,0.31,0.0,0.08,0.18,0.0,0.0,0.2,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0838,0.0412,0.0867,0.0629,0.1121,0.1498,0.1228,0.3741,0.1968,0.1727,0.3586,0.3573,0.1348,0.126,0.0424,0.1709,0.1736,0.159,0.2089,0.2333,0.2025,0.1594,0.1979,0.0098,0.1005,0.0076,0.1296,0.005,0.0,0.0921,0.0,0.0168,0.0,0.009,0.0341,0.1299,0.44,0.0,0.17,0.36,0.0,0.0,0.14,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0969,0.0507,0.1228,0.0908,0.3513,0.1427,0.0936,0.5176,0.1721,0.1434,0.6291,0.3604,0.2875,0.4585,0.1143,0.2569,0.2281,0.1068,0.2996,0.3009,0.189,0.2653,0.1618,0.0056,0.1098,0.005,0.2634,0.005
